Account ID,Account Name,Type,Sub-Type,Active,Balance
36,Savings,Bank,Savings,True,800.0
37,Truck,Fixed Asset,Vehicles,True,0.0
38,Original Cost,Fixed Asset,Vehicles,True,13495.0
39,Depreciation,Fixed Asset,AccumulatedDepreciation,True,0.0
40,Depreciation,Other Expense,Depreciation,True,0.0
41,Mastercard,Credit Card,CreditCard,True,-157.72
42,Visa,Credit Card,CreditCard,True,0.0
43,Loan Payable,Other Current Liability,OtherCurrentLiabilities,True,-4000.0
44,Notes Payable,Long Term Liability,OtherLongTermLiabilities,True,-25000.0
45,Landscaping Services,Income,OtherPrimaryIncome,True,0.0
46,Job Materials,Income,OtherPrimaryIncome,True,0.0
47,Decks and Patios,Income,OtherPrimaryIncome,True,0.0
48,Fountains and Garden Lighting,Income,OtherPrimaryIncome,True,0.0
49,Plants and Soil,Income,OtherPrimaryIncome,True,0.0
50,Sprinklers and Drip Systems,Income,OtherPrimaryIncome,True,0.0
51,Labor,Income,OtherPrimaryIncome,True,0.0
52,Installation,Income,OtherPrimaryIncome,True,0.0
53,Maintenance and Repair,Income,OtherPrimaryIncome,True,0.0
54,Pest Control Services,Income,OtherPrimaryIncome,True,0.0
55,Automobile,Expense,Auto,True,0.0
56,Fuel,Expense,Auto,True,0.0
57,Workers Compensation,Expense,Insurance,True,0.0
58,Job Expenses,Expense,OtherMiscellaneousServiceCost,True,0.0
59,Cost of Labor,Expense,OtherMiscellaneousServiceCost,True,0.0
60,Installation,Expense,OtherMiscellaneousServiceCost,True,0.0
61,Maintenance and Repairs,Expense,OtherMiscellaneousServiceCost,True,0.0
62,Equipment Rental,Expense,EquipmentRental,True,0.0
63,Job Materials,Expense,SuppliesMaterials,True,0.0
64,Decks and Patios,Expense,SuppliesMaterials,True,0.0
65,Fountain and Garden Lighting,Expense,SuppliesMaterials,True,0.0
66,Plants and Soil,Expense,SuppliesMaterials,True,0.0
67,Sprinklers and Drip Systems,Expense,SuppliesMaterials,True,0.0
68,Permits,Expense,OtherMiscellaneousServiceCost,True,0.0
69,Accounting,Expense,LegalProfessionalFees,True,0.0
70,Bookkeeper,Expense,LegalProfessionalFees,True,0.0
71,Lawyer,Expense,LegalProfessionalFees,True,0.0
72,Maintenance and Repair,Expense,RepairMaintenance,True,0.0
73,Building Repairs,Expense,RepairMaintenance,True,0.0
74,Computer Repairs,Expense,RepairMaintenance,True,0.0
75,Equipment Repairs,Expense,RepairMaintenance,True,0.0
76,Gas and Electric,Expense,Utilities,True,0.0
77,Telephone,Expense,Utilities,True,0.0
78,Purchases,Expense,SuppliesMaterials,True,0.0
79,Sales of Product Income,Income,SalesOfProductIncome,True,0.0
80,Cost of Goods Sold,Cost of Goods Sold,SuppliesMaterialsCogs,True,0.0
81,Inventory Asset,Other Current Asset,Inventory,True,596.25
82,Design income,Income,OtherPrimaryIncome,True,0.0
83,Other Income,Income,OtherPrimaryIncome,True,0.0
84,Accounts Receivable (A/R),Accounts Receivable,AccountsReceivable,True,5281.52
85,Billable Expense Income,Income,ServiceFeeIncome,True,0.0
86,Discounts given,Income,DiscountsRefundsGiven,True,0.0
87,Unapplied Cash Payment Income,Income,UnappliedCashPaymentIncome,True,0.0
88,Unapplied Cash Bill Payment Expense,Expense,UnappliedCashBillPaymentExpense,True,0.0
89,Arizona Dept. of Revenue Payable,Other Current Liability,GlobalTaxPayable,True,0.0
90,Board of Equalization Payable,Other Current Liability,GlobalTaxPayable,True,-370.94
